title,content,poster_path,cluster
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) Action, Crime Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord. en",/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,3
Zack Snyder's Justice League,"Zack Snyder's Justice League Action, Adventure, Fantasy Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions. en",/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,11
Star Wars: The Rise of Skywalker,"Star Wars: The Rise of Skywalker Adventure, Action, Science Fiction The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins. en",/db32LaOibwEliAmSL2jjDF6oDdj.jpg,1
The Lion King,"The Lion King Adventure, Drama, Family, Animation Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his. en",/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,11
Top Gun: Maverick,"Top Gun: Maverick Action, Drama After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen. en",/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,7
Aladdin,"Aladdin Adventure, Fantasy, Romance, Family A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true. en",/ykUEbfpkf8d0w49pHh0AD2KrT52.jpg,11
Godzilla vs. Kong,"Godzilla vs. Kong Action, Science Fiction, Adventure In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages. en",/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,1
Toy Story 4,"Toy Story 4 Family, Comedy, Animation, Adventure Woody has always been confident about his place in the world, devoted to taking care of his kid—whether that's Andy or Bonnie. But after Bonnie creates a reluctant new toy called ""Forky"", a road trip adventure alongside old and new friends challenges everything Woody believes about loyalty, purpose, and what it truly means to be a toy. en",/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,11
The Super Mario Bros. Movie,"The Super Mario Bros. Movie Family, Comedy, Adventure, Animation, Fantasy While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi. en",/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,11
Sonic the Hedgehog,"Sonic the Hedgehog Action, Science Fiction, Comedy, Family Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination. en",/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg,1
Jojo Rabbit,"Jojo Rabbit Comedy, War, Drama Jojo, a lonely German boy during World War II has his world shaken when he learns that his single mother is hiding a Jewish girl in their home. Influenced by a buffoonish imaginary version of Adolf Hitler, he begins to question his beliefs and confront the conflict between propaganda and his own humanity. en",/7GsM4mtM0worCtIVeiQt28HieeN.jpg,7
Shang-Chi and the Legend of the Ten Rings,"Shang-Chi and the Legend of the Ten Rings Action, Adventure, Fantasy Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization. en",/d08HqqeBQSwN8i8MEvpsZ8Cb438.jpg,11
Frozen II,"Frozen II Family, Animation, Adventure, Comedy, Fantasy Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom. en",/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,11
Doctor Strange in the Multiverse of Madness,"Doctor Strange in the Multiverse of Madness Fantasy, Action, Adventure Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary. en",/ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg,11
Encanto,"Encanto Animation, Comedy, Family, Fantasy The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope. en",/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,10
Shazam!,"Shazam! Action, Comedy, Fantasy A boy is given the ability to become an adult superhero in times of need with a single magic word. en",/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,11
Cruella,"Cruella Comedy, Crime, Adventure In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella. en",/hjS9mH8KvRiGHgjk6VUZH7OT0Ng.jpg,5
Alita: Battle Angel,"Alita: Battle Angel Action, Science Fiction, Adventure When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past. en",/xRWht48C2V8XNfzvPehyClOvDni.jpg,1
Free Guy,"Free Guy Comedy, Adventure, Science Fiction A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late. en",/dxraF0qPr1OEgJk17ltQTO84kQF.jpg,1
It Chapter Two,"It Chapter Two Horror, Thriller, Drama 27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call. en",/zfE0R94v1E8cuKAerbskfD3VfUt.jpg,8
The Suicide Squad,"The Suicide Squad Action, Comedy, Adventure Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese. en",/q61qEyssk2ku3okWICKArlAdhBn.jpg,11
Jumanji: The Next Level,"Jumanji: The Next Level Adventure, Comedy, Fantasy As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game. en",/4kh9dxAiClS2GMUpkRyzGwpNWWX.jpg,11
Don't Look Up,"Don't Look Up Comedy, Science Fiction, Drama Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh. en",/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,1
Eternals,"Eternals Science Fiction, Action, Adventure The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants. en",/lFByFSLV5WDJEv3KabbdAF959F2.jpg,1
Glass,"Glass Thriller, Drama, Science Fiction In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men. en",/svIDTNUoajS8dLEo7EosxvyAsgJ.jpg,1
Wonder Woman 1984,"Wonder Woman 1984 Action, Adventure, Fantasy A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy. en",/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg,11
Luca,"Luca Animation, Comedy, Fantasy, Family, Drama Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface. en",/9x4i9uKGXt8IiiIF5Ey0DIoY738.jpg,11
Ford v Ferrari,"Ford v Ferrari Drama, Action, History American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966. en",/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg,7
Puss in Boots: The Last Wish,"Puss in Boots: The Last Wish Animation, Adventure, Fantasy, Comedy, Family Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives. en",/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,11
Bad Boys for Life,"Bad Boys for Life Thriller, Action, Crime Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel. en",/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,3
After,"After Romance, Drama Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life. en",/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,6
Thor: Love and Thunder,"Thor: Love and Thunder Fantasy, Action, Comedy After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late. en",/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,11
Deadpool & Wolverine,"Deadpool & Wolverine Action, Comedy, Science Fiction A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine. en",/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,1
Spider-Man: Across the Spider-Verse,"Spider-Man: Across the Spider-Verse Animation, Action, Adventure, Science Fiction After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most. en",/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,1
Nobody,"Nobody Action, Thriller Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind. en",/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,3
Guardians of the Galaxy Vol. 3,"Guardians of the Galaxy Vol. 3 Science Fiction, Adventure, Action Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them. en",/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,1
Us,"Us Horror, Mystery Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited. en",/ux2dU1jQ2ACIMShzB3yP93Udpzc.jpg,8
Midsommar,"Midsommar Horror, Drama, Mystery Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities. en",/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg,8
John Wick: Chapter 4,"John Wick: Chapter 4 Action, Thriller, Crime With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes. en",/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,3
Everything Everywhere All at Once,"Everything Everywhere All at Once Action, Adventure, Science Fiction An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes. en",/u68AjlvlutfEIcpmbYpKcdi09ut.jpg,1
Fast & Furious Presents: Hobbs & Shaw,"Fast & Furious Presents: Hobbs & Shaw Action, Adventure, Comedy Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him. en",/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg,11
Dune: Part Two,"Dune: Part Two Science Fiction, Adventure Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee. en",/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,1
F9,"F9 Action, Adventure, Crime Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother. en",/deEmLILTPejEb6OGsXRJ5MCvyDW.jpg,11
Prey,"Prey Thriller, Action, Science Fiction When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal. en",/2FKjLRt7oK1bRRIrxgWmthbBdFh.jpg,1
The Irishman,"The Irishman Crime, Drama, History Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years. en",/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,3
Black Panther: Wakanda Forever,"Black Panther: Wakanda Forever Action, Adventure, Science Fiction Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda. en",/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,1
Bullet Train,"Bullet Train Action, Comedy, Thriller Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train. en",/j8szC8OgrejDQjjMKSVXyaAjw3V.jpg,3
Marriage Story,"Marriage Story Drama A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes. en",/2JRyCKaRKyJAVpsIHeLvPw5nHmw.jpg,7
A Quiet Place Part II,"A Quiet Place Part II Science Fiction, Thriller, Horror Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path. en",/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,1
Pokémon Detective Pikachu,"Pokémon Detective Pikachu Action, Adventure, Fantasy In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective. en",/uhWvnFgg3BNlcUz0Re1HfQqIcCD.jpg,11
Raya and the Last Dragon,"Raya and the Last Dragon Animation, Family, Fantasy, Action, Adventure Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people. en",/5nVhgCzxKbK47OLIKxCR1syulOn.jpg,11
Ad Astra,"Ad Astra Science Fiction, Drama The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown. en",/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,1
How to Train Your Dragon: The Hidden World,"How to Train Your Dragon: The Hidden World Animation, Family, Adventure As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind. en",/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,11
Mulan,"Mulan Adventure, Fantasy, Action When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential. en",/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,11
Dark Phoenix,"Dark Phoenix Science Fiction, Action, Adventure The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy. en",/cCTJPelKGLhALq3r51A9uMonxKj.jpg,1
No Time to Die,"No Time to Die Action, Thriller, Adventure Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology. en",/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,11
Jurassic World Dominion,"Jurassic World Dominion Adventure, Action, Science Fiction Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures. en",/jbAvCACjLf1ZG0unB2tdmx5HAf1.jpg,1
Black Adam,"Black Adam Action, Adventure, Science Fiction Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world. en",/rCtreCr4xiYEWDQTebybolIh6Xe.jpg,1
Little Women,"Little Women Drama, Romance, History Four sisters come of age in America in the aftermath of the Civil War. en",/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,9
Uncharted,"Uncharted Action, Adventure A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother. en",/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,11
Glass Onion: A Knives Out Mystery,"Glass Onion: A Knives Out Mystery Comedy, Crime, Mystery World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends. en",/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg,2
Godzilla: King of the Monsters,"Godzilla: King of the Monsters Science Fiction, Action Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance. en",/mzOHg7Q5q9yUmY0b9Esu8Qe6Nnm.jpg,1
Inside Out 2,"Inside Out 2 Animation, Adventure, Comedy, Family Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone. en",/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,11
Onward,"Onward Family, Comedy, Adventure, Animation, Fantasy In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there. en",/f4aul3FyD3jv3v4bul1IrkWZvzq.jpg,11
Extraction,"Extraction Action, Thriller A hardened gun-for-hire's latest mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son. en",/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg,3
Enola Holmes,"Enola Holmes Adventure, Mystery, Crime While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord. en",/riYInlsq2kf1AWoGm80JQW5dLKp.jpg,11
The Gentlemen,"The Gentlemen Comedy, Crime American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him. en",/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,3
Maleficent: Mistress of Evil,"Maleficent: Mistress of Evil Family, Fantasy, Adventure Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play. en",/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg,11
The Conjuring: The Devil Made Me Do It,"The Conjuring: The Devil Made Me Do It Horror, Mystery, Thriller Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense. en",/rQfX2xx8TUoNvyk892yKWNikJaM.jpg,8
The Matrix Resurrections,"The Matrix Resurrections Science Fiction, Action, Adventure Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix. en",/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,1
Red Notice,"Red Notice Action, Comedy, Crime An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen. en",/lAXONuqg41NwUMuzMiFvicDET9Y.jpg,3
